ID,Characters,Values,Valid,Comments,Capitals
1, ,C,1,,
2,a,V,1,,A
3,A,V,1,,
4,b,C,1,,B
5,B,C,1,,
6,c,C,1,,C
7,C,C,1,,
8,d,C,1,,D
9,D,C,1,,
10,e,V,1,,E
11,E,V,1,,
12,f,C,1,,F
13,F,C,1,,
14,g,C,1,,G
15,G,C,1,,
16,h,C,1,,H
17,H,C,1,,
18,i,V,1,,I
19,I,V,1,,
20,j,C,1,,J
21,J,C,1,,
22,k,C,1,,K
23,K,C,1,,
24,l,C,1,,L
25,L,C,1,,
26,m,C,1,,M
27,M,C,1,,
28,n,C,1,,N
29,N,C,1,,
30,o,V,1,,O
31,O,V,1,,
32,p,C,1,,P
33,P,C,1,,
34,q,C,1,,Q
35,Q,C,1,,
36,r,C,1,,R
37,R,C,1,,
38,s,C,1,,S
39,S,C,1,,
40,t,C,1,,T
41,T,C,1,,
42,u,V,1,,U
43,U,V,1,,
44,v,C,1,,V
45,V,C,1,,
46,w,S,1,,W
47,W,S,1,,
48,x,C,1,,X
49,X,C,1,,
50,y,S,1,,Y
51,Y,S,1,,
52,z,C,1,,Z
53,Z,C,1,,
64,`,N,1,,
65,"""",N,1,,
67,-,C,1,,
68,",",C,1,,
69,),N,1,,
79,.,C,1,,
80,/,C,1,,
109,0,C,1,,
110,1,C,1,,
111,2,C,1,,
112,3,C,1,,
113,4,C,1,,
114,5,C,1,,
115,6,C,1,,
116,7,C,1,,
117,8,C,1,,
118,9,C,1,,
126,’,N,1,,
127,:,N,1,,
128,!,C,1,,
129,(,C,1,,
130,‘,C,1,,
131,“,C,1,,
132,”,C,1,,
133,<,N,1,,
134,>,N,1,,
135,[,N,1,,
136,],N,1,,
137,~,N,1,,
138,;,N,1,,
